year,month,day,doy,LAI,errLAI
2019,4,22,112,3.071111111111113,0.4155503564737156
2019,4,24,114,3.071111111111113,0.4155503564737156
2019,5,8,128,3.020555555555555,0.5157731221964236
2019,5,22,142,3.860833333333333,0.499613044710048
2019,6,4,155,4.413611111111113,0.359653790144678
2019,6,18,169,5.7794444444444455,0.38477225908064727
2019,7,2,183,4.300277777777778,0.46178088906555337
2019,7,16,197,4.278888888888888,0.5287184599354776
2019,7,30,211,4.1497222222222225,0.5272069281237951
2019,8,13,225,5.375833333333332,0.37102991044448763
2019,8,27,239,4.729166666666667,0.5306723984196318
2019,9,10,253,5.396666666666666,0.4513682901282869
2019,9,24,267,4.059444444444445,0.3449633188587226
2019,10,8,281,5.0197222222222235,0.39339325893161864
2019,10,22,295,3.568055555555555,0.33126709133638543
2020,6,27,179,6.422222222222222,0.4754828604874039
2020,7,6,188,5.3725,0.727474226347573
2020,7,23,205,5.6097222222222225,0.4639653130659609
2020,8,3,216,4.890833333333333,0.40342543714214824
2020,8,18,231,5.509166666666666,0.4382438121512828
2020,8,31,244,5.78638888888889,0.3143171856737658
2020,9,17,261,4.515277777777778,0.3606282027480434
2020,10,1,275,5.086944444444445,0.4885626278769434
2020,10,12,286,4.693888888888888,0.4389398704566984
2020,10,27,301,3.601944444444445,0.3180130976027774
2021,4,13,103,2.6558333333333324,0.25784766174364787
2021,4,28,118,2.719444444444444,0.41537763570865677
2021,5,13,133,2.8991666666666664,0.5417737073723679
2021,5,25,145,4.728055555555555,0.3859966856826942
2021,6,23,174,5.798888888888891,0.4283027082292887
2021,7,7,188,5.162000000000001,0.3849363583762906
2021,7,19,200,4.953055555555557,0.341099687648025
2021,8,4,216,5.263333333333334,0.9355420294614715
2021,8,17,229,5.510833333333334,0.9172888040306608
2021,8,19,231,5.510833333333334,0.9172888040306608
2021,9,1,244,5.435277777777777,0.34775858573242624
2021,9,14,257,5.4541666666666675,0.7184875124562401
2021,9,29,272,4.8725,0.6854940432515321
2021,10,13,286,4.656666666666668,0.5557777333511024
2021,10,27,300,4.6369444444444445,0.5653407008386104
